"percent_price","fuel_type","body_type","transmission","assured_buy","car_availability","total_owners","broker_quote","original_price","car_rating","fitness_certificate","emi_starts_from","booking_down_pymnt"
0.750871327531957,2,3,1,1,1,1,270460,401399,"3",1,7001,45210
0.845790047454149,2,1,1,1,1,1,354032,436632,"3",1,8578,55395
0.856900525129142,1,1,1,1,1,1,447444,560624,"3",1,11158,72060
0.765240024306259,1,1,1,1,1,1,388000,493700,"2",1,8775,56670
0.733403714752639,1,1,1,1,2,2,217138,375099,"2",1,6390,41265
0.849738852756254,1,1,1,1,1,1,164094,221714,"2",1,4376,28260
0.782324297614927,1,1,1,1,1,1,347573,459399,"3",1,8348,53910
0.79145120975311,2,2,1,1,1,1,832560,1012190,"3",1,18608,120165
0.825756121357544,2,2,1,1,2,1,1422217,1713713,"3",1,32869,212267
0.846801126580082,1,1,1,1,1,1,290791,374585,"3",1,7368,47580
0.916129405617485,2,2,1,1,1,1,1093292,1192313,"3",1,25372,163847
0.859771061615221,1,2,1,1,1,2,672500,837780,"3",1,16731,108045
0.810028981133973,2,2,1,1,1,2,1048358,1272552,"3",1,23943,154621
0.699788951632998,2,1,1,1,1,1,176961,333099,"1",1,5414,34965
0.91096628306692,1,1,1,1,1,2,197667,262687,"2",1,5558,35895
0.927234079813043,1,4,1,1,1,3,295317,331199,"3",1,7133,46065
0.809371938608904,2,3,1,1,1,1,510270,643090,"3",1,12090,78075
0.839491865608711,2,3,1,1,1,1,488043,608343,"3",1,11862,76605
0.95427777527036,2,3,1,1,1,1,465642,509599,"3",1,11296,72945
0.676374357198567,1,1,1,1,2,1,149524,308999,"2",1,4855,31350
0.673628177637655,1,1,1,1,1,2,181965,306399,"2",1,4794,30960
0.781801836792138,5,1,1,0,1,2,319632,458299,"3",1,8322,53745
0.892086867038075,1,1,1,1,1,2,214324,281810,"2",1,5839,37710
0.688181129345586,1,1,1,1,1,1,206571,320699,"3",1,5126,33105
0.791232493682902,1,3,1,1,1,1,283877,367653,"3",1,6757,43635
0.798481123249755,2,2,1,1,1,1,411396,517356,"3",1,9595,61965
0.847980436042494,2,4,1,1,1,1,733951,824782,"3",1,16245,104910
0.871882608776462,2,2,1,1,1,1,428610,538030,"3",1,10896,70365
0.93044603347165,1,3,1,1,1,1,303700,391854,"3",1,8469,54690
0.782274027576296,1,1,1,1,1,1,224350,295036,"3",1,5361,34620
0.84271990587626,2,1,1,1,1,1,273723,355277,"3",1,6954,44910
0.806498314610849,1,3,1,1,1,1,318815,410291,"3",1,7686,49635
0.891464642066615,2,2,1,1,1,1,387269,493793,"2",1,10225,66030
0.852673130569022,2,3,1,1,1,1,350604,443076,"3",1,8775,56670
0.825040461513799,1,5,1,1,1,1,733302,910742,"3",1,17453,112710
0.898217077830009,2,4,2,1,1,2,990909,1194051,"3",1,24912,160878
0.829523914693067,2,2,1,1,1,1,810419,987071,"3",1,19019,122820
0.784913703649077,2,5,2,1,1,2,1273548,1532278,"3",1,27936,180406
0.803551357326784,2,4,2,1,1,1,1250172,1510690,"3",1,28196,182088
0.860975755562012,2,2,1,1,1,1,598514,719299,"3",1,14385,92895
0.759845724893672,5,1,1,1,2,1,288964,416399,"3",1,7349,47460
0.78311439752691,1,1,1,1,1,1,366204,467108,"3",1,8497,54870
0.951319005042712,1,1,1,1,1,1,264886,270886,"3",1,5986,38655
0.810452746244112,1,3,1,1,1,1,240524,313774,"3",1,5907,38145
0.7702200602483,1,1,1,1,1,1,319967,435199,"3",1,7786,50280
0.982551342674181,2,2,1,1,1,1,479116,515799,"3",1,11772,76020
0.969834890567004,1,1,1,1,1,1,579475,585975,"3",1,13200,85245
0.984786987129074,1,1,1,1,1,1,514830,521330,"3",1,11925,77010
0.769811853870957,1,1,1,1,1,1,278408,360996,"3",1,6455,41685
0.861770300422537,2,1,1,1,1,1,321214,413218,"3",1,8271,53415
0.793289691760571,1,1,1,1,1,2,179618,240138,"3",1,4425,28575
0.704316097918681,1,3,1,1,1,1,211716,338199,"2",1,5533,35730
0.925231405437786,1,1,1,1,1,1,194500,258745,"3",1,5561,35910
0.830887371242356,2,2,2,1,1,1,528307,663747,"3",1,12810,82725
0.784664550856756,1,1,1,1,1,1,541035,679015,"3",1,12376,79920
0.762452211906062,1,3,1,1,1,1,555000,695780,"3",1,12322,79575
0.790531480225276,1,3,1,1,2,1,455681,570501,"3",1,10476,67650
0.995153863943767,1,1,1,1,1,1,283882,285382,"3",1,6597,42600
0.859093146908232,1,1,1,1,1,1,150000,203120,"3",1,4053,26175
0.887841955856837,5,3,1,0,1,1,768750,891599,"3",1,18387,118740
0.933427455122866,2,3,1,1,1,2,288862,295362,"3",1,6404,41355
0.78764309627558,2,3,1,1,1,1,265882,344698,"3",1,6306,40725
0.770694268961864,2,3,1,1,1,1,324026,436099,"3",1,7807,50415
0.93219512675557,1,1,1,1,1,1,196568,203068,"3",1,4397,28395
0.851675840515931,2,2,1,1,1,2,566007,674199,"3",1,13337,86130
0.724858273479464,1,1,1,1,1,2,180994,241839,"3",1,4072,26295
0.822537170452607,5,1,1,1,1,2,288271,381015,"3",1,7279,47010
0.973594518373652,5,1,1,1,1,1,218798,282252,"2",1,6383,41220
0.99654916528952,5,1,1,1,1,1,213657,219657,"3",1,5084,32835
0.797775636183679,2,3,2,1,1,1,982553,1190183,"3",1,22054,142425
0.842244531842959,2,2,1,1,1,1,699000,869580,"3",1,17012,109860
0.966797942837349,2,3,1,1,1,1,772187,773687,"3",1,17374,112200
0.809665432702382,2,2,2,1,1,2,571730,715850,"3",1,13463,86940
0.961369214805194,2,3,1,1,1,1,874326,880826,"3",1,19669,127020
